backslashjasdlf',backslashasdn',0,0,0,1,0,NULL,NULL,NULL,NULL,backslash;',NULL,NULL,NULL,NULL,NULL,backslash',;',dblequote',B.H.',Thursday',2018-07-12 07:55:06'
1',4',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:42:47'
1',5',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:43:07'
1',6',NULL,0,0,NULL,1,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,top no flow',NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:43:32'
1',7',NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Na',NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:43:44'
1',8',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:43:56'
1',9',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:44:08'
1',10',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:44:19'
1',11',NULL,0,1,NULL,0,NULL,NULL,0,NULL,NULL,NULL,Top no flow',NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:44:35'
1',11',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:44:49'
1',12',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:45:07'
1',13',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:45:19'
1',14',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:45:33'
1',15',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:45:48'
1',16',NULL,0,0,NULL,0,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,t.schutz',Sunday',2018-07-15 16:45:58'
1',1',0,0,0,0,0,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,d.p.',Monday',2018-07-16 09:00:49'
